HOME TEAM,Eagan Wave,,,,,,,,,,,,,,,,,,,
AWAY TEAM,Flash,,,,,,,,,,,,,,,,,,,
H1 DURATION,25,,,,,,,,,,,,,,,,,,,
H2 DURATION,25,,,,,,,,,,,,,,,,,,,
OT1 DURATION,0,,,,,,,,,,,,,,,,,,,
OT2 DURATION,0,,,,,,,,,,,,,,,,,,,
HT H1 GOALS,1,,,,,,,,,,,,,,,,,,,
HT H1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
HT H1 SHOTS,2,,,,,,,,,,,,,,,,,,,
HT H1 SAVES,2,,,,,,,,,,,,,,,,,,,
HT H1 POSSESSION,0,,,,,,,,,,,,,,,,,,,
HT H1 MAX PASSES,2,,,,,,,,,,,,,,,,,,,
AT H1 GOALS,1,,,,,,,,,,,,,,,,,,,
AT H1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT H1 SHOTS,5,,,,,,,,,,,,,,,,,,,
AT H1 SAVES,1,,,,,,,,,,,,,,,,,,,
HT H2 GOALS,4,,,,,,,,,,,,,,,,,,,
HT H2 ASSISTS,1,,,,,,,,,,,,,,,,,,,
HT H2 SHOTS,9,,,,,,,,,,,,,,,,,,,
HT H2 SAVES,0,,,,,,,,,,,,,,,,,,,
HT H2 POSSESSION,1,,,,,,,,,,,,,,,,,,,
HT H2 MAX PASSES,3,,,,,,,,,,,,,,,,,,,
AT H2 GOALS,2,,,,,,,,,,,,,,,,,,,
AT H2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT H2 SHOTS,5,,,,,,,,,,,,,,,,,,,
AT H2 SAVES,1,,,,,,,,,,,,,,,,,,,
HT OT1 GOALS,0,,,,,,,,,,,,,,,,,,,
HT OT1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
HT OT1 SHOTS,0,,,,,,,,,,,,,,,,,,,
AT OT1 GOALS,0,,,,,,,,,,,,,,,,,,,
AT OT1 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT OT1 SHOTS,0,,,,,,,,,,,,,,,,,,,
HT OT2 GOALS,0,,,,,,,,,,,,,,,,,,,
HT OT2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
HT OT2 SHOTS,0,,,,,,,,,,,,,,,,,,,
AT OT2 GOALS,0,,,,,,,,,,,,,,,,,,,
AT OT2 ASSISTS,0,,,,,,,,,,,,,,,,,,,
AT OT2 SHOTS,0,,,,,,,,,,,,,,,,,,,
HT H1 FORMATION,3-3-2,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.8,0.4,Defense,,,,,,,,,,,,,,,
,,3,0.2,0.4,Defense,,,,,,,,,,,,,,,
,,4,0.5,0.3,Defense,,,,,,,,,,,,,,,
,,8,0.5,0.55,Midfield,,,,,,,,,,,,,,,
,,10,0.35,0.85,Forward,,,,,,,,,,,,,,,
,,7,0.95,0.7,Midfield,,,,,,,,,,,,,,,
,,9,0.65,0.85,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.7,Midfield,,,,,,,,,,,,,,,
AT H1 FORMATION,3-3-2,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.8,0.4,Defense,,,,,,,,,,,,,,,
,,3,0.2,0.4,Defense,,,,,,,,,,,,,,,
,,4,0.5,0.3,Defense,,,,,,,,,,,,,,,
,,8,0.5,0.55,Midfield,,,,,,,,,,,,,,,
,,10,0.35,0.85,Forward,,,,,,,,,,,,,,,
,,7,0.95,0.7,Midfield,,,,,,,,,,,,,,,
,,9,0.65,0.85,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.7,Midfield,,,,,,,,,,,,,,,
HT H2 FORMATION,3-3-2,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.8,0.4,Defense,,,,,,,,,,,,,,,
,,3,0.2,0.4,Defense,,,,,,,,,,,,,,,
,,4,0.5,0.3,Defense,,,,,,,,,,,,,,,
,,8,0.5,0.55,Midfield,,,,,,,,,,,,,,,
,,10,0.35,0.85,Forward,,,,,,,,,,,,,,,
,,7,0.95,0.7,Midfield,,,,,,,,,,,,,,,
,,9,0.65,0.85,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.7,Midfield,,,,,,,,,,,,,,,
AT H2 FORMATION,3-3-2,node,x position,y position,Line,,,,,,,,,,,,,,,
,,1,0.5,0.1,Defense,,,,,,,,,,,,,,,
,,2,0.8,0.4,Defense,,,,,,,,,,,,,,,
,,3,0.2,0.4,Defense,,,,,,,,,,,,,,,
,,4,0.5,0.3,Defense,,,,,,,,,,,,,,,
,,8,0.5,0.55,Midfield,,,,,,,,,,,,,,,
,,10,0.35,0.85,Forward,,,,,,,,,,,,,,,
,,7,0.95,0.7,Midfield,,,,,,,,,,,,,,,
,,9,0.65,0.85,Forward,,,,,,,,,,,,,,,
,,11,0.05,0.7,Midfield,,,,,,,,,,,,,,,
AT H1 PASSING TREE,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node  10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20
,8,7,,,,,,,,,,,,,,,,,,
,7,8,,,,,,,,,,,,,,,,,,
,7,9,7,,,,,,,,,,,,,,,,,
,7,9,,,,,,,,,,,,,,,,,,
,2,8,,,,,,,,,,,,,,,,,,
,4,7,,,,,,,,,,,,,,,,,,
,8,10,,,,,,,,,,,,,,,,,,
,2,11,,,,,,,,,,,,,,,,,,
,8,11,,,,,,,,,,,,,,,,,,
,8,7,,,,,,,,,,,,,,,,,,
,3,11,8,,,,,,,,,,,,,,,,,
,4,7,9,,,,,,,,,,,,,,,,,
,4,3,,,,,,,,,,,,,,,,,,
,4,8,,,,,,,,,,,,,,,,,,
,8,9,,,,,,,,,,,,,,,,,,
,4,11,,,,,,,,,,,,,,,,,,
,2,8,10,,,,,,,,,,,,,,,,,
,4,11,,,,,,,,,,,,,,,,,,
,8,7,,,,,,,,,,,,,,,,,,
,4,7,,,,,,,,,,,,,,,,,,
,7,9,,,,,,,,,,,,,,,,,,
